Date,Open,High,Low,Close,Adj Close,Volume
2014-06-26,195.610001,195.630005,194.130005,195.440002,169.836975,84312000
2014-06-27,194.979996,195.880005,194.889999,195.820007,170.167206,71445100
2014-06-30,195.699997,196.169998,195.529999,195.720001,170.080307,70201200
2014-07-01,196.199997,197.630005,196.130005,197.029999,171.218735,90470000
2014-07-02,197.050003,197.479996,196.960007,197.229996,171.392487,52475000
2014-07-03,197.789993,198.289993,197.639999,198.199997,172.235413,52938800
2014-07-07,197.820007,197.979996,197.220001,197.509995,171.635803,61696000
2014-07-08,197.149994,197.220001,195.759995,196.240005,170.532211,108143000
2014-07-09,196.729996,197.300003,196.309998,197.119995,171.296921,72992000
2014-07-10,195.220001,196.860001,195.059998,196.339996,170.619080,99040000
2014-07-11,196.220001,196.750000,195.779999,196.610001,170.853683,64243000
2014-07-14,197.610001,197.860001,197.440002,197.600006,171.714020,58658000
2014-07-15,197.720001,198.100006,196.360001,197.229996,171.392487,111307000
2014-07-16,198.110001,198.259995,197.419998,197.960007,172.026886,79986400
2014-07-17,197.350006,198.100006,195.429993,195.710007,170.071671,145398000
2014-07-18,196.350006,197.910004,196.240005,197.710007,171.809647,124330000
2014-07-21,197.089996,197.500000,196.429993,197.339996,171.488068,67592000
2014-07-22,198.009995,198.559998,197.869995,198.199997,172.235413,67678000
2014-07-23,198.500000,198.850006,198.100006,198.639999,172.617767,65612000
2014-07-24,198.830002,199.059998,198.449997,198.649994,172.626495,56888000
2014-07-25,198.089996,198.259995,197.330002,197.720001,171.818314,76837000
2014-07-28,197.759995,198.089996,196.619995,197.800003,171.887787,69259000
2014-07-29,198.169998,198.449997,196.919998,196.949997,171.149170,80466000
2014-07-30,197.649994,197.910004,196.160004,196.979996,171.175262,104222000
2014-07-31,195.610001,195.779999,192.970001,193.089996,167.794861,183479000
2014-08-01,192.559998,193.759995,191.570007,192.500000,167.282135,189261000
2014-08-04,192.869995,194.300003,192.050003,193.889999,168.490051,91340000
2014-08-05,193.100006,193.600006,191.309998,192.009995,166.856339,152690000
2014-08-06,191.110001,192.889999,191.080002,192.070007,166.908524,94818000
2014-08-07,192.940002,193.130005,190.550003,191.029999,166.004730,135733000
2014-08-08,191.460007,193.369995,190.949997,193.240005,167.925232,117014000
2014-08-11,193.970001,194.660004,193.710007,193.800003,168.411850,74544000
2014-08-12,193.610001,194.149994,192.940002,193.529999,168.177216,73632000
2014-08-13,194.289993,195.059998,193.960007,194.839996,169.315582,69047000
2014-08-14,195.160004,195.759995,194.979996,195.759995,170.115082,57371000
2014-08-15,196.470001,196.649994,194.309998,195.720001,170.080307,139951000
2014-08-18,196.800003,197.449997,196.690002,197.360001,171.505493,75424000
2014-08-19,197.839996,198.539993,197.440002,198.389999,172.400574,59135000
2014-08-20,198.119995,199.160004,198.080002,198.919998,172.861115,72763000
2014-08-21,199.089996,199.759995,198.929993,199.500000,173.365143,67791000
2014-08-22,199.339996,199.690002,198.740005,199.190002,173.095749,76107000
2014-08-25,200.139999,200.589996,199.149994,200.199997,173.973404,63855000
2014-08-26,200.330002,200.820007,200.279999,200.330002,174.086426,47298000
2014-08-27,200.429993,200.570007,199.940002,200.250000,174.016891,47874000
2014-08-28,199.589996,200.270004,199.389999,200.139999,173.921280,58330000
2014-08-29,200.449997,200.729996,199.820007,200.710007,174.416626,65907000
2014-09-02,200.970001,201.000000,199.860001,200.610001,174.329712,72426000
2014-09-03,201.380005,201.410004,200.220001,200.500000,174.234146,57462000
2014-09-04,200.839996,201.580002,199.660004,200.210007,173.982162,85236000
2014-09-05,200.169998,201.190002,199.410004,201.110001,174.764236,102177000
2014-09-08,200.919998,201.210007,200.000000,200.589996,174.312332,64146000
2014-09-09,200.410004,200.550003,198.910004,199.320007,173.208740,88591000
2014-09-10,199.429993,200.199997,198.770004,200.070007,173.860489,67251000
2014-09-11,199.270004,200.330002,199.119995,200.300003,174.060318,66774400
2014-09-12,200.100006,200.119995,198.559998,199.130005,173.043610,117409300
2014-09-15,199.160004,199.320007,198.380005,198.979996,172.913300,76401000
2014-09-16,198.610001,200.839996,198.500000,200.479996,174.216751,116201000
2014-09-17,200.770004,201.679993,199.750000,200.750000,174.451385,151266000
2014-09-18,201.360001,201.850006,201.100006,201.820007,175.381210,94990000
2014-09-19,201.520004,201.899994,200.289993,200.699997,175.223175,121649000
2014-09-22,200.350006,200.380005,198.729996,199.149994,173.869919,125553000
2014-09-23,198.429993,199.259995,197.949997,198.009995,172.874634,111393000
2014-09-24,198.039993,199.690002,197.520004,199.559998,174.227905,107276000
2014-09-25,199.039993,199.050003,196.270004,196.339996,171.416611,150300000
2014-09-26,196.699997,198.389999,196.419998,197.899994,172.778641,103547000
2014-09-29,196.199997,197.889999,196.050003,197.539993,172.464294,95112000
2014-09-30,197.690002,198.300003,196.610001,197.020004,172.010315,131302000
2014-10-01,196.699997,196.770004,193.910004,194.350006,169.679230,177798000
2014-10-02,194.179993,195.059998,192.350006,194.380005,169.705429,157285000
2014-10-03,195.679993,196.940002,195.080002,196.520004,171.573837,121569000
2014-10-06,197.339996,197.600006,195.580002,196.289993,171.372986,104778000
2014-10-07,195.279999,195.720001,193.220001,193.259995,168.727615,147913000
2014-10-08,193.369995,196.919998,192.360001,196.639999,171.678558,186461000
2014-10-09,196.330002,196.600006,192.580002,192.740005,168.273621,210705000
2014-10-10,192.690002,193.649994,190.490005,190.539993,166.352921,221909000
2014-10-13,190.460007,191.149994,187.300003,187.410004,163.620255,230939000
2014-10-14,188.419998,189.820007,187.039993,187.699997,163.873398,215847000
2014-10-15,185.160004,187.690002,181.919998,186.429993,162.764587,380715000
2014-10-16,183.059998,187.580002,182.889999,186.270004,162.624908,270391000
2014-10-17,188.419998,189.750000,187.619995,188.470001,164.545670,214625000
2014-10-20,188.130005,190.449997,188.070007,190.300003,166.143402,130011000
2014-10-21,191.679993,194.199997,191.479996,194.070007,169.434799,154949000
2014-10-22,194.410004,194.910004,192.610001,192.690002,168.229980,151822000
2014-10-23,194.619995,196.199997,194.259995,194.929993,170.185608,154944000
2014-10-24,195.250000,196.490005,194.490005,196.429993,171.495239,117927000
2014-10-27,195.729996,196.449997,195.029999,196.160004,171.259521,82954000
2014-10-28,196.820007,198.419998,196.729996,198.410004,173.223877,106736000
2014-10-29,198.550003,199.119995,196.800003,198.110001,172.961945,142557000
2014-10-30,197.580002,199.949997,197.399994,199.380005,174.070724,113330000
2014-10-31,201.779999,201.820007,200.770004,201.660004,176.061340,146903000
2014-11-03,201.919998,202.449997,201.309998,201.770004,176.157410,93600000
2014-11-04,201.229996,201.600006,200.059998,201.070007,175.546234,93343000
2014-11-05,202.539993,202.589996,201.449997,202.339996,176.654968,91709000
2014-11-06,202.389999,203.259995,201.639999,203.149994,177.362167,107089000
2014-11-07,203.169998,203.600006,202.610001,203.339996,177.528076,89540000
2014-11-10,203.380005,204.039993,203.130005,203.979996,178.086777,66319000
2014-11-11,204.059998,204.309998,203.649994,204.179993,178.261429,54499400
2014-11-12,203.350006,204.240005,203.309998,203.960007,178.069397,90120300
2014-11-13,204.160004,204.830002,203.210007,204.190002,178.270157,85357900
2014-11-14,204.100006,204.490005,203.720001,204.240005,178.313797,80417500
2014-11-17,203.850006,204.580002,203.649994,204.369995,178.427277,80441000
2014-11-18,204.440002,205.919998,204.440002,205.550003,179.457581,76068100
2014-11-19,205.309998,205.550003,204.300003,205.220001,179.169434,82373000
2014-11-20,204.259995,205.710007,204.179993,205.580002,179.483749,72840300
2014-11-21,207.639999,207.839996,205.979996,206.679993,180.444061,142327300
2014-11-24,207.169998,207.389999,206.910004,207.259995,180.950485,65880800
2014-11-25,207.539993,207.789993,206.800003,207.110001,180.819504,79108300
2014-11-26,207.289993,207.759995,207.029999,207.639999,181.282257,62167800
2014-11-28,207.490005,207.869995,206.910004,207.199997,180.898071,57890100
2014-12-01,206.399994,206.539993,205.380005,205.759995,179.640869,103968400
2014-12-02,205.809998,207.339996,205.779999,207.089996,180.802032,74507200
2014-12-03,207.300003,208.149994,207.100006,207.889999,181.500519,68952000
2014-12-04,207.539993,208.270004,206.699997,207.660004,181.299728,91316600
2014-12-05,207.869995,208.470001,207.550003,208.000000,181.596588,91025500
2014-12-08,207.520004,208.119995,205.929993,206.610001,180.382980,108588200
2014-12-09,204.369995,206.600006,203.910004,206.470001,180.260788,125180100
2014-12-10,205.910004,205.979996,202.929993,203.160004,177.370926,159856400
2014-12-11,203.880005,206.190002,203.710007,204.190002,178.270157,159012800
2014-12-12,202.639999,203.820007,200.850006,200.889999,175.389069,202330200
2014-12-15,201.979996,202.529999,198.779999,199.509995,174.184235,189965800
2014-12-16,198.580002,202.399994,197.860001,197.910004,172.787338,259543800
2014-12-17,198.440002,202.339996,198.289993,201.789993,176.174850,253910100
2014-12-18,204.740005,212.970001,203.919998,206.779999,180.531387,257633900
2014-12-19,206.429993,207.330002,205.610001,206.520004,181.299561,245084600
2014-12-22,206.750000,207.470001,206.460007,207.470001,182.133530,148318900
2014-12-23,208.169998,208.229996,207.399994,207.750000,182.379349,122167900
2014-12-24,208.020004,208.339996,207.720001,207.770004,182.396927,42963400
2014-12-26,208.309998,208.850006,208.250000,208.440002,182.985092,57326700
2014-12-29,208.220001,208.970001,208.139999,208.720001,183.230850,79643900
2014-12-30,208.210007,208.369995,207.509995,207.600006,182.247665,73540800
2014-12-31,207.990005,208.190002,205.389999,205.539993,180.439209,130333800
2015-01-02,206.380005,206.880005,204.179993,205.429993,180.342606,121465900
